분류,제목,만료날짜,참여인원
정치개혁,위안부 밥벌이 한 윤미향을 처벌해 주십시오,2020-06-26,"23,470명"
정치개혁,경기 지사는 뭐하는 분입니까? 방역은 안 합니까?,2020-06-26,612명
인권/성평등,국내거주 '등록외국인 재입국허가제 및 재입국 시 진단서 소지 의무화 시행'에 대한 개선 청원,2020-06-26,"8,939명"
보건복지,지역사회 코로나 확산을 야기시킬 수 있는 국방부 제작 뮤지컬 <귀환>의 개막을 연기 또는 취소해주십시오.,2020-06-26,"1,333명"
미래,정부는 WHO권고안에 준비가 되어 있습니까?,2020-06-26,665명
경제민주화,집팔라고해서 집팔고 그돈 사모펀드 장려해서 사모펀드  **에 가입후 15억 사기당했습니다,2020-06-26,225명
인권/성평등,미성년자에게 성적 조롱과 위안부 모독과 같은 행동을 한 일본유저들을 처벌해주세요,2020-06-26,455명
보건복지,계양구청 코로나19 대응능력이 개선이 필요합니다.,2020-06-26,"2,397명"
육아/교육,안전한 학교생활을 위한 '학생 마스크'를 정부가 무상제공해 주세요.,2020-06-26,"1,836명"
인권/성평등,*** 판사의 성교육 실시 및 자격박탈 청원합니다 [의붓아빠가 8살 성폭행 무죄 선고],2020-06-26,"65,385명"
행정,헤이리 상인 다죽이는 플리마켓 막아주세요!,2020-06-26,287명
교통/건축/국토,"우리에게 하루도 버틸수 있는 ""물""이 없습니다",2020-06-26,686명
행정,일본군에 대해 아픈 상처만 남은 할머니를 위해 써주길 바랬던 정의기억연대가 받은 기부금과  성금의 사용내역을 밝혀주세요,2020-06-26,745명
기타,중앙정부의 공무원적 발상의 정점인 전국민 재난지원금 제도,2020-06-26,150명
농산어촌,사유재산을 도로을 만든 울산**청장 고발합니다,2020-06-26,224명
육아/교육,고등학교 3학년 을 제외한 초 중 고 학생들의 1학기 온라인 수업 대체 강력 요청,2020-06-26,"3,503명"
육아/교육,대학 학자금 무이자 전면실시와 무상교육 단계적 확대로 고등교육의 공공성을 강화해 주십시오,2020-06-26,271명
기타,"대리운전 기사님에 대한 갑질, 정당한 사회가 될 수있도록 도와주십시요.",2020-06-26,896명
행정,서울시 재난지원금 신청 마감을 연기해 주세요,2020-06-26,203명
인권/성평등,억울함 을 호소합니다,2020-06-26,172명
안전/환경,"알콜 만취자, 여성택시운전사 폭행 #충격주의",2020-06-26,"97,358명"
육아/교육,등교수업 학교방역에 실질적인 지원을 해주세요,2020-06-26,"1,713명"
반려동물,동물 보호법 개정이 시급하여 사건 사고와 함께 내용을 제안합니다.,2020-06-26,923명
육아/교육,부디 등교개학을 미뤄주세요,2020-06-26,"1,940명"
육아/교육,현재 학교에 다니고 있는 고3 학생입니다. 저희의 소리를 들어주세요.,2020-06-26,"1,793명"
기타,최저가입찰제의 규제를 부탁드립니다.,2020-06-26,139명
육아/교육,"9월 학기제에 대한 검토와 전국 학생, 학부모, 교사 등을 대상으로 한 9월 학기제 관련 설문조사를 시행해주시기 바랍니다.",2020-06-26,"1,375명"
보건복지,코인노래방 집합금지령에 지원방안,2020-06-26,189명
육아/교육,학생 누구나 최고의 환경에서 교육을 받을 수 있도록 해주세요(온라인 수업 관련),2020-06-26,303명
반려동물,강아지학대를 하는 유투버를 고발합니다,2020-06-25,"3,533명"
기타,이명박 박근혜의 사면을 반대합니다,2020-06-25,"6,691명"
정치개혁,백선기 칠곡군수 자기 조카 레슬링감독 특혜시비,2020-06-25,286명
육아/교육,개학연기요청,2020-06-25,"2,981명"
기타,허위매물 딜러들의 법적처리를 요구합니다,2020-06-25,"5,921명"
안전/환경,구미 코로나 확진자 이동경로확실이 알려주세요!,2020-06-25,979명
교통/건축/국토,"황당한 재개발 감정가,  광주서구청장, 감정평가사, 개개발조합 단합 의혹",2020-06-25,175명
행정,재외국민중 고3학생/부모 대학 입시관련 베트남-한국 귀국시 격리 면제건의,2020-06-25,578명
기타,"코인노래방 업주입니다. 영업정지에 관해 보상대책을 마련해주세요,",2020-06-25,401명
안전/환경,어린이보호구역 사고시 보호자의 책임을 묻는 법을 만들어주세요.,2020-06-25,"1,369명"
정치개혁,마이스터고 고졸 지방직9급 행정직 공무원 신설 반대합니다!,2020-06-25,"3,435명"
정치개혁,이게 자유민주주의 국가야?,2020-06-25,278명
인권/성평등,2022학년도 약대입시를 개편해주세요,2020-06-25,297명
육아/교육,"학교가 ""방역의 최전선""이라면 그에 합당한 지원을 해 주시기를 부탁드립니다.",2020-06-25,"2,237명"
일자리,★은행 경비원에 대한 현실 폭로★,2020-06-25,716명
육아/교육,전국 대학교의 일부 등록금 환불을 요구합니다.,2020-06-25,"1,488명"
안전/환경,“제천 의림지 내 디스코 팡팡 놀이기구 출입문이 파손돼 딸이 중상해를 입었는데 이용객 30%과실?,2020-06-25,966명
문화/예술/체육/언론,살인에 비견되는 음주운전 삼진아웃 ***를 프로야구에서 퇴출시켜주세요,2020-06-25,"8,185명"
기타,적폐경찰을 싹 다 갈아 엎어주세요,2020-06-25,495명
안전/환경,디지털 성범죄의 근절을 위해 초소형 카메라의 판매와 구매 규제 강화를 요구합니다.,2020-06-25,"1,096명"
정치개혁,양형 기준도 없는 정치 판사 대신 인공지능 로봇 판사 만듭시다,2020-06-25,589명
기타,"악성 유튜버 ""우**""을 처벌해주세요",2020-06-25,262명
기타,강제성추행으로 인한 자살사건,2020-06-25,"7,113명"
행정,이래서 미용실 운영할 수 있겠습니까?,2020-06-25,269명
육아/교육,올해 입시에 3학년 1학기 비교과 반영 없애주세요.,2020-06-25,297명
육아/교육,등교개학대신 온라인수업 질을 높여주세요!,2020-06-25,"1,581명"
안전/환경,코로나바이러스 확산방지를 위해 전국모든학생들이 학원을 안가게 해주세요,2020-06-25,696명
육아/교육,등교개학을 미뤄주세요,2020-06-25,"1,913명"
육아/교육,"코로나19 사태에 따른 가정학습(현장체험학습 일수 연장), 등교선택권을 보장해주세요",2020-06-24,"2,089명"
경제민주화,**중공업의 악랄하고 잔인한 하도급 갑질횡포 제발 막아주세요,2020-06-24,373명
정치개혁,윤석열 검찰총장을 파면시켜주십시오,2020-06-24,"4,447명"
인권/성평등,나눔의 집 후원금 횡령에 관련해서 철저한 수사를 부탁드립니다.,2020-06-24,"2,930명"
외교/통일/국방,경주시장 주낙영을 반드시 처벌하여야한다.,2020-06-24,"6,156명"
행정,[경주시의 일본지원건] 지방자치제의 독단적인 지원금지와 경주시의 감사를 청원합니다.,2020-06-24,"10,249명"
문화/예술/체육/언론,코로나도 누른 미스터트롯의 영향력에 국민훈장으로 보상을,2020-06-24,164명
인권/성평등,Jtbc ***** **을 폐지 해주세요,2020-06-24,361명
정치개혁,"양승태 공소장 공범 권순일 불법 대법관 국회 탄핵 소추안, 공수처법 대상 확대 발의안 국회 통과 요청 및 권순일 불법 대법관을 구속 수사 하라!",2020-06-24,"1,498명"
외교/통일/국방,주민등록증을 발급하여 주세요,2020-06-24,187명
행정,경주시 정부지원예산 삭감해주세요!,2020-06-24,"1,879명"
외교/통일/국방,경주시장 파면 시켜주세요,2020-06-24,"5,006명"
문화/예술/체육/언론,배스 스포츠피싱을 장려해주세요. 작살로 혈세가 낭비되는것을 막아주세요.,2020-06-24,"3,347명"
성장동력,코로나19로 인한 중소기업의 일시적 유동성 악화에 따른 특별보증지원제도 도입이 시급합니다,2020-06-24,454명
육아/교육,"코로나19 학교 방역, 학교에 단 한 명 뿐인 의료인, 보건교사를 잘 지켜주세요.",2020-06-24,"2,705명"
기타,하동군**과에대한 청원입니다,2020-06-24,"2,743명"
인권/성평등,직장내 괴롭힘 및 폭행이 근절 될수 있도록 가해자 처벌 조항을 강제성 있게 법을 강화해 주시고 가해자를 부서 이동시켜 주십시오.,2020-06-24,404명
외교/통일/국방,재외국민중 고3학생/부모 대학 입시관련 중국-한국 귀국시 패스트트랙 입국 조치건,2020-06-24,"1,715명"
보건복지,비싼항암비가 아닌 암과의 싸움만 하게해주세요,2020-06-24,"4,948명"
육아/교육,어린이집에서 성폭행 및 괴롭힘을 당했습니다. 제발 제발 읽어주세요..,2020-06-24,"2,107명"
육아/교육,초등학생 개학을 늦춰주세요.,2020-06-24,"3,033명"
경제민주화,**레버리지wti ETN과 **레버리지wti ETN의 불공정한 지표관리를 바로 잡아주십시요.,2020-06-24,213명
행정,휴대폰 가격인하와 왜 못하는지 이유와 휴대폰 원가 가격 공개 해야 합니다,2020-06-24,346명
인권/성평등,"간절한 마음으로 사회적 폐단 ""갑""질에 대한 국민청원 합니다.",2020-06-24,591명
정치개혁,상습운전운전은 다수를 향해 마구 흉기를 휘두르는 묻지 마 살인범에 죽임을 당한 거나 아무런 차이가 없습니다.,2020-06-24,526명
문화/예술/체육/언론,KBO *** 심판 파면 청원합니다.,2020-06-24,424명
문화/예술/체육/언론,국민체육센터 시 및 구청 직영으로 운영해주세요,2020-06-24,154명
육아/교육,모든 초 중 고등학교의 1학기 시험을 폐지해주세요.,2020-06-24,764명
육아/교육,온/오프라인 수업선택권을 돌려주세요,2020-06-24,"2,712명"
교통/건축/국토,"오피스텔 분양사기, 수많은 피해자의 눈물을 닦아주고, 분양 사기에 대한 안전장치를 만들어주시길 청원합니다.",2020-06-24,"2,764명"
인권/성평등,동성끼리의 결혼을 합법화 시켜 주세요.,2020-06-24,347명
문화/예술/체육/언론,순수 운동동호회의 검경수사 중단을 촉구합니다!,2020-06-24,"1,163명"
육아/교육,코로나 바이러스로 인한 행사 취소 위약금 폐지,2020-06-24,326명
인권/성평등,한국여성으로 살아가기 너무 힘들고 죽고싶습니다,2020-06-24,804명
인권/성평등,유방암환자 한국의 안젤리나 졸리,2020-06-24,"1,591명"
교통/건축/국토,지방 부동산 위장전입 막아주세요.,2020-06-24,405명
육아/교육,제발 아이들 개학을 미뤄주세요..,2020-06-24,"2,052명"
반려동물,입양보낸지 2시간도채 안되어 도살당했습니다,2020-06-24,"62,997명"
육아/교육,모든 고등학생에게 동일한 무상교육을 제공해 주시길 바랍니다. 자사고 특,2020-06-24,614명
인권/성평등,디시인사이드 폐지해주세요.,2020-06-24,355명
보건복지,소상공인 영업정지에 관한 대안책을 마련해주세요.,2020-06-24,177명
인권/성평등,"청각, 언어 장애인을 위한 전용 채널 개설을 부탁드립니다",2020-06-24,169명
보건복지,간암투병중입니다,2020-06-24,"1,425명"
육아/교육,개학 연기가 절실합니다. 개학현장을 직접 검토해주세요.,2020-06-24,"1,419명"
미래,원동기  1종 125CC 만15세부터  면허딸수있게해주세요,2020-06-24,308명
문화/예술/체육/언론,**미술관 소장 보물 두 점에 대한 논고,2020-06-24,134명
인권/성평등,학원선생님들도 성교육을 받게하게 도와주세요.,2020-06-24,462명
일자리,** 및 ** 등 자영업자 등쳐먹는 플랫폼 세무조사 요청요,2020-06-24,182명
인권/성평등,갑질과 폭력을 일삼는  아파트 동대표를  처벌하여   주십시요,2020-06-24,"2,521명"
문화/예술/체육/언론,코로나로 힘든 우리도 대힌민국 국민입니다.,2020-06-24,"1,530명"
교통/건축/국토,대기업에 속아 수백억 전재산을 날리고 거처할 곳 없이 떠도는 80세 노인입니다.,2020-06-24,337명
안전/환경,uae에서 일 하고 있는 해외근로자들 제발 좀 살려주세요...,2020-06-24,327명
보건복지,동탄*동행정복지센터 장애인 복지민원 (그외 장애인에 대한 작은,2020-06-24,154명
일자리,네이버 **** 휴대폰게시판 가맹점 관련 갑질,2020-06-24,235명
교통/건축/국토,부산 하단녹산선의 조기 착공을 촉구합니다,2020-06-24,"3,063명"
안전/환경,"코로나 사태 속 등교 강행, 당장 중지 바랍니다. 사람이 먼저라는 철학, 버리셨습니까?",2020-06-24,"1,136명"
교통/건축/국토,수백 년이 지나도 절대 되돌릴 수 없는 생태 1등급 환경을 누군가가 파괴하려 합니다,2020-06-24,269명
정치개혁,아이돌들 성희롱 하는 **** 유튜버 처벌해주세요,2020-06-24,202명
행정,화성시  외국인의 불법적이고 무법적인 택시운행에 대해 철저히 조사해주세요.  또 불법체류 외국인들 방치에 대한 대책을 요구합니다!!,2020-06-24,337명
육아/교육,등교개학연기 교육부는 귀를 열어라,2020-06-24,"1,856명"
안전/환경,학교 개학을 늦춰주세요,2020-06-24,526명
정치개혁,"대법원 재판은 ""10초 판결""? 법원의 사법개혁을 촉구 합니다.",2020-06-24,450명
안전/환경,간접흡연을 집안에서 하지 않게 해주세요.,2020-06-24,414명
일자리,유치원 어린이집 특별활동 강사 수업 할 수 있게 해주세요.,2020-06-24,141명
교통/건축/국토,은평구 갈현1구역 재개발 - 불공정한 수의계약 반대합니다,2020-06-24,114명
인권/성평등,불편한 교복을 개선해주세요.,2020-06-24,278명
보건복지,해외유학생 재외국민 재난지원금 대상에 포함시켜 주세요 (저희도 대한민국 국민입니다. 똑같이 고생중입니다),2020-06-24,180명
