년도,광역,기초,경찰서,시구only,연령,성별,가구수
2017,충북,괴산군,충북괴산경찰서,괴산군,51~60세,남자,733
2017,충북,괴산군,충북괴산경찰서,괴산군,51~60세,여자,452
2017,충북,괴산군,충북괴산경찰서,괴산군,61~세,남자,1148
2017,충북,괴산군,충북괴산경찰서,괴산군,61~세,여자,2219
2017,전남,구례군,전남구례경찰서,구례군,21~30세,남자,71
2017,전남,구례군,전남구례경찰서,구례군,21~30세,여자,64
2017,전남,구례군,전남구례경찰서,구례군,31~40세,남자,149
2017,전남,구례군,전남구례경찰서,구례군,31~40세,여자,68
2017,전남,구례군,전남구례경찰서,구례군,41~50세,남자,258
2017,전남,구례군,전남구례경찰서,구례군,41~50세,여자,127
2017,전남,구례군,전남구례경찰서,구례군,51~60세,남자,413
2017,전남,구례군,전남구례경찰서,구례군,51~60세,여자,301
2017,전남,구례군,전남구례경찰서,구례군,61~세,남자,587
2017,전남,구례군,전남구례경찰서,구례군,61~세,여자,1862
2017,서울,구로구,서울구로경찰서,구로구,16~20세,남자,98
2017,서울,구로구,서울구로경찰서,구로구,16~20세,여자,102
2017,서울,구로구,서울구로경찰서,구로구,21~30세,남자,3363
2017,서울,구로구,서울구로경찰서,구로구,21~30세,여자,4457
2017,서울,구로구,서울구로경찰서,구로구,31~40세,남자,5914
2017,서울,구로구,서울구로경찰서,구로구,31~40세,여자,3924
2017,서울,구로구,서울구로경찰서,구로구,41~50세,남자,4458
2017,서울,구로구,서울구로경찰서,구로구,41~50세,여자,2572
2017,서울,구로구,서울구로경찰서,구로구,51~60세,남자,3762
2017,서울,구로구,서울구로경찰서,구로구,51~60세,여자,2812
2017,서울,구로구,서울구로경찰서,구로구,61~세,남자,3769
2017,서울,구로구,서울구로경찰서,구로구,61~세,여자,7750
2017,경기,구리시,경기구리경찰서,구리시,16~20세,남자,35
2017,경기,구리시,경기구리경찰서,구리시,16~20세,여자,32
2017,경기,구리시,경기구리경찰서,구리시,21~30세,남자,665
2017,경기,구리시,경기구리경찰서,구리시,21~30세,여자,651
2017,경기,구리시,경기구리경찰서,구리시,31~40세,남자,1630
2017,경기,구리시,경기구리경찰서,구리시,31~40세,여자,949
2017,경기,구리시,경기구리경찰서,구리시,41~50세,남자,1766
2017,경기,구리시,경기구리경찰서,구리시,41~50세,여자,1154
2017,경기,구리시,경기구리경찰서,구리시,51~60세,남자,1846
2017,경기,구리시,경기구리경찰서,구리시,51~60세,여자,1531
2017,경기,구리시,경기구리경찰서,구리시,61~세,남자,1642
2017,경기,구리시,경기구리경찰서,구리시,61~세,여자,3194
2017,경북,구미시,경북구미경찰서,구미시,16~20세,남자,521
2017,경북,구미시,경북구미경찰서,구미시,16~20세,여자,381
2017,경북,구미시,경북구미경찰서,구미시,21~30세,남자,7040
2017,경북,구미시,경북구미경찰서,구미시,21~30세,여자,4594
2017,경북,구미시,경북구미경찰서,구미시,31~40세,남자,8469
2017,경북,구미시,경북구미경찰서,구미시,31~40세,여자,4006
2017,경북,구미시,경북구미경찰서,구미시,41~50세,남자,5227
2017,경북,구미시,경북구미경찰서,구미시,41~50세,여자,3061
2017,경북,구미시,경북구미경찰서,구미시,51~60세,남자,3593
2017,경북,구미시,경북구미경찰서,구미시,51~60세,여자,3370
2017,경북,구미시,경북구미경찰서,구미시,61~세,남자,2691
2017,경북,구미시,경북구미경찰서,구미시,61~세,여자,6426
2017,전북,군산시,전북군산경찰서,군산시,16~20세,남자,258
2017,전북,군산시,전북군산경찰서,군산시,16~20세,여자,235
2017,전북,군산시,전북군산경찰서,군산시,21~30세,남자,3151
2017,전북,군산시,전북군산경찰서,군산시,21~30세,여자,2001
2017,전북,군산시,전북군산경찰서,군산시,31~40세,남자,3267
2017,전북,군산시,전북군산경찰서,군산시,31~40세,여자,1304
2017,전북,군산시,전북군산경찰서,군산시,41~50세,남자,3473
2017,전북,군산시,전북군산경찰서,군산시,41~50세,여자,1672
2017,전북,군산시,전북군산경찰서,군산시,51~60세,남자,3412
2017,전북,군산시,전북군산경찰서,군산시,51~60세,여자,2464
